"wordFeatures","Prop","Index","Model","N","Mean","SD","SE"
"Interoceptive",30,"KL divergence (log)","Llama-3.1-70B",5,2.32595358819399,1.1169592728326,0.499519372430484
"Interoceptive",40,"Correlation coefficient","Gpt-4o",5,0.65096534843772,0.0787133667023298,0.0352016877368556
"Interoceptive",40,"Correlation coefficient","Llama-3.1-70B",5,0.62838763519734,0.167939963547095,0.0751050349260282
"Interoceptive",40,"KL divergence (log)","Gpt-4o",5,1.08658836180449,0.990738306840625,0.443071640401737
"Interoceptive",40,"KL divergence (log)","Llama-3.1-70B",5,1.23502102443915,1.53377521183089,0.685925127171603
"Interoceptive",50,"Correlation coefficient","Gpt-4o",5,0.659818508628941,0.136139103450567,0.060883257942269
"Interoceptive",50,"Correlation coefficient","Llama-3.1-70B",5,0.727156436260462,0.0184275599416696,0.00824105533780504
"Interoceptive",50,"KL divergence (log)","Gpt-4o",5,1.35366238191776,1.12422320296834,0.502767900743948
"Interoceptive",50,"KL divergence (log)","Llama-3.1-70B",5,0.627066822214079,0.432560589998759,0.193446976724928
"Olfactory",10,"Correlation coefficient","Gpt-4o",5,0.549558070635335,0.0420980064006475,0.0188268008058138
"Olfactory",10,"Correlation coefficient","Llama-3.1-70B",5,0.565503474365753,0.0512095542427209,0.0229016088768373
"Olfactory",10,"KL divergence (log)","Gpt-4o",5,2.39722307978192,0.151482811202498,0.0677451726543104
"Olfactory",10,"KL divergence (log)","Llama-3.1-70B",5,2.76741474667263,0.11501237762305,0.0514350989238032
"Olfactory",20,"Correlation coefficient","Gpt-4o",5,0.621188743121788,0.0579306667629888,0.0259073817727861
"Olfactory",20,"Correlation coefficient","Llama-3.1-70B",5,0.579627077422368,0.0286544014059919,0.0128146378796727
"Olfactory",20,"KL divergence (log)","Gpt-4o",5,1.93776776526298,0.432701203057308,0.193509860796416
"Olfactory",20,"KL divergence (log)","Llama-3.1-70B",5,2.60710953444401,0.330929875231877,0.1479963393608
