"category","wordFeatures","Index","Model","N","Mean","SD","SE"
"other","Interoceptive","Correlation coefficient","Gpt-4o",1,0.506895881760501,NA,NA
"other","Interoceptive","Correlation coefficient","Llama-3.1-70B",1,0.452679477877941,NA,NA
"other","Interoceptive","KL divergence (log)","Gpt-4o",1,2.84459642829491,NA,NA
"other","Interoceptive","KL divergence (log)","Llama-3.1-70B",1,2.78137110611289,NA,NA
"other","Olfactory","Correlation coefficient","Gpt-4o",1,0.6541465538493,NA,NA
"other","Olfactory","Correlation coefficient","Llama-3.1-70B",1,0.589738715035087,NA,NA
"other","Olfactory","KL divergence (log)","Gpt-4o",1,2.5120861785747,NA,NA
"other","Olfactory","KL divergence (log)","Llama-3.1-70B",1,2.55498212797211,NA,NA
"other","Visual","Correlation coefficient","Gpt-4o",1,0.301634486664729,NA,NA
"other","Visual","Correlation coefficient","Llama-3.1-70B",1,0.301274920437134,NA,NA
"other","Visual","KL divergence (log)","Gpt-4o",1,1.62618573822353,NA,NA
"other","Visual","KL divergence (log)","Llama-3.1-70B",1,1.93188264750749,NA,NA
"other","Foot_leg","Correlation coefficient","Gpt-4o",1,0.588828421972183,NA,NA
"other","Foot_leg","Correlation coefficient","Llama-3.1-70B",1,0.383648503253875,NA,NA
"other","Foot_leg","KL divergence (log)","Gpt-4o",1,2.82283359544887,NA,NA
"other","Foot_leg","KL divergence (log)","Llama-3.1-70B",1,2.97717047010284,NA,NA
"other","Hand_arm","Correlation coefficient","Gpt-4o",1,0.163322463912231,NA,NA
"other","Hand_arm","Correlation coefficient","Llama-3.1-70B",1,0.245707312312962,NA,NA
"other","Hand_arm","KL divergence (log)","Gpt-4o",1,2.66162171624337,NA,NA
"other","Hand_arm","KL divergence (log)","Llama-3.1-70B",1,2.97855042452674,NA,NA
"other","Head","Correlation coefficient","Gpt-4o",1,0.289313506050179,NA,NA
"other","Head","Correlation coefficient","Llama-3.1-70B",1,0.119886097346668,NA,NA
"other","Head","KL divergence (log)","Gpt-4o",1,1.48196607911679,NA,NA
"other","Head","KL divergence (log)","Llama-3.1-70B",1,3.38938405480439,NA,NA
"other","Mouth","Correlation coefficient","Gpt-4o",1,0.478862295403996,NA,NA
"other","Mouth","Correlation coefficient","Llama-3.1-70B",1,0.489407900440077,NA,NA
"other","Mouth","KL divergence (log)","Gpt-4o",1,2.74347853600294,NA,NA
"other","Mouth","KL divergence (log)","Llama-3.1-70B",1,3.31540389483527,NA,NA
"other","Torso","Correlation coefficient","Gpt-4o",1,0.285843184263699,NA,NA
"other","Torso","Correlation coefficient","Llama-3.1-70B",1,0.420568114562434,NA,NA
"other","Torso","KL divergence (log)","Gpt-4o",1,2.38055116065524,NA,NA
"other","Torso","KL divergence (log)","Llama-3.1-70B",1,3.155649826843,NA,NA
"predicates","concreteness","Correlation coefficient","Gpt-4o",1,0.742124564058326,NA,NA
"predicates","concreteness","Correlation coefficient","Llama-3.1-70B",1,0.679839451383907,NA,NA
