"category","wordFeatures","Prop","Index","Model","N","Mean","SD","SE"
"function_words","dominance",20,"KL divergence (log)","Gpt-4o",5,3.37674466845618,0.0971062169856532,0.043427220443553
"function_words","dominance",20,"KL divergence (log)","Llama-3.1-70B",5,2.21795878285046,0.297815735376793,0.13318724581432
"function_words","dominance",30,"Correlation coefficient","Gpt-4o",5,-0.00566243270259353,0.630662371573699,0.282040786738004
"function_words","dominance",30,"Correlation coefficient","Llama-3.1-70B",5,-0.134083342743606,0.460576590505003,0.205976113042854
"function_words","dominance",30,"KL divergence (log)","Gpt-4o",5,2.96331150587008,0.470032491555913,0.210204920550524
"function_words","dominance",30,"KL divergence (log)","Llama-3.1-70B",5,2.83372919326463,0.566710358626086,0.253440577088243
"function_words","dominance",40,"Correlation coefficient","Gpt-4o",5,0.36964123484518,0.257907309507733,0.115339655190674
"function_words","dominance",40,"Correlation coefficient","Llama-3.1-70B",5,0.570459306824337,0.101326243873942,0.0453144738413711
"function_words","dominance",40,"KL divergence (log)","Gpt-4o",5,2.95334804882604,0.308225227174821,0.137842512068643
"function_words","dominance",40,"KL divergence (log)","Llama-3.1-70B",5,2.96540567942465,0.297043061077711,0.132841695362877
"function_words","dominance",50,"Correlation coefficient","Gpt-4o",5,0.147572957474524,0.486483983977547,0.217562251627743
"function_words","dominance",50,"Correlation coefficient","Llama-3.1-70B",5,0.520730730547926,0.356984974078277,0.159648533797005
"function_words","dominance",50,"KL divergence (log)","Gpt-4o",5,3.10881313732832,0.360170675737765,0.161073222890335
"function_words","dominance",50,"KL divergence (log)","Llama-3.1-70B",5,2.99075456996068,0.304343188902162,0.136106411774859
"function_words","Auditory",10,"Correlation coefficient","Gpt-4o",5,0.088718830497434,0.354544993024205,0.158557341096862
"function_words","Auditory",10,"Correlation coefficient","Llama-3.1-70B",5,0.0504730995862115,0.39554745056109,0.176894197556267
"function_words","Auditory",10,"KL divergence (log)","Gpt-4o",5,3.17505462395664,0.33955901825844,0.151855409439793
"function_words","Auditory",10,"KL divergence (log)","Llama-3.1-70B",5,3.30881197046398,0.0716852792501766,0.03205863147789
"function_words","Auditory",20,"Correlation coefficient","Gpt-4o",5,0.0856405586171991,0.441924402076238,0.197634600791684
"function_words","Auditory",20,"Correlation coefficient","Llama-3.1-70B",5,-0.11633688980638,0.316901755353512,0.141722773431892
"function_words","Auditory",20,"KL divergence (log)","Gpt-4o",5,2.87096830276735,0.401810196792277,0.17969498281602
"function_words","Auditory",20,"KL divergence (log)","Llama-3.1-70B",5,3.1024691290692,0.303211135929645,0.135600142294723
"function_words","Auditory",30,"Correlation coefficient","Gpt-4o",5,-0.141072023411709,0.604623995090003,0.270396070769749
"function_words","Auditory",30,"Correlation coefficient","Llama-3.1-70B",5,-0.157472808055609,0.541579586911663,0.242201754312147
"function_words","Auditory",30,"KL divergence (log)","Gpt-4o",5,3.06685964823323,0.353263139046717,0.157984078570684
"function_words","Auditory",30,"KL divergence (log)","Llama-3.1-70B",5,3.29320623197071,0.230877954528683,0.103251760166448
"function_words","Auditory",40,"Correlation coefficient","Gpt-4o",5,0.0847691819137281,0.580061674286321,0.259411466969311
"function_words","Auditory",40,"Correlation coefficient","Llama-3.1-70B",5,0.241749991718284,0.545046715434203,0.243752301324772
"function_words","Auditory",40,"KL divergence (log)","Gpt-4o",5,3.4068030713702,0.111654741094915,0.0499335182196739
"function_words","Auditory",40,"KL divergence (log)","Llama-3.1-70B",5,3.27693844618446,0.0936715442374014,0.0418911880944416
"function_words","Auditory",50,"Correlation coefficient","Gpt-4o",5,-0.0700014811451073,0.51365042641245,0.229711454025998
"function_words","Auditory",50,"Correlation coefficient","Llama-3.1-70B",5,0.430331482911935,0.596284793999944,0.266666666666667
"function_words","Auditory",50,"KL divergence (log)","Gpt-4o",5,3.13496368249392,0.240186561446261,0.107414695735154
"function_words","Auditory",50,"KL divergence (log)","Llama-3.1-70B",5,3.33336672625013,0.155000370054982,0.0693182727961126
"function_words","Gustatory",10,"Correlation coefficient","Gpt-4o",5,NA,NA,NA
"function_words","Gustatory",10,"Correlation coefficient","Llama-3.1-70B",5,NA,NA,NA
"function_words","Gustatory",10,"KL divergence (log)","Gpt-4o",5,2.8414193042523,0,0
"function_words","Gustatory",10,"KL divergence (log)","Llama-3.1-70B",5,2.8414193042523,0,0
"function_words","Gustatory",20,"Correlation coefficient","Gpt-4o",5,NA,NA,NA
"function_words","Gustatory",20,"Correlation coefficient","Llama-3.1-70B",5,NA,NA,NA
"function_words","Gustatory",20,"KL divergence (log)","Gpt-4o",5,2.83364479313251,0.158307908010945,0.0707974487376515
"function_words","Gustatory",20,"KL divergence (log)","Llama-3.1-70B",5,2.83364479313251,0.158307908010945,0.0707974487376515
"function_words","Gustatory",30,"Correlation coefficient","Gpt-4o",5,NA,NA,NA
"function_words","Gustatory",30,"Correlation coefficient","Llama-3.1-70B",5,NA,NA,NA
"function_words","Gustatory",30,"KL divergence (log)","Gpt-4o",5,2.93831302218835,0.298742984370927,0.13360192417091
"function_words","Gustatory",30,"KL divergence (log)","Llama-3.1-70B",5,2.93831302218835,0.298742984370927,0.13360192417091
"function_words","Gustatory",40,"Correlation coefficient","Gpt-4o",5,NA,NA,NA
"function_words","Gustatory",40,"Correlation coefficient","Llama-3.1-70B",5,NA,NA,NA
"function_words","Gustatory",40,"KL divergence (log)","Gpt-4o",5,2.64752390997793,0.232334017494963,0.103902931320872
"function_words","Gustatory",40,"KL divergence (log)","Llama-3.1-70B",5,2.64752390997793,0.232334017494963,0.103902931320872
"function_words","Gustatory",50,"Correlation coefficient","Gpt-4o",5,NA,NA,NA
"function_words","Gustatory",50,"Correlation coefficient","Llama-3.1-70B",5,NA,NA,NA
"function_words","Gustatory",50,"KL divergence (log)","Gpt-4o",5,2.72184412619845,0.0145593607725762,0.00651114407928484
"function_words","Gustatory",50,"KL divergence (log)","Llama-3.1-70B",5,2.72184412619845,0.0145593607725762,0.00651114407928484
"function_words","Haptic",10,"Correlation coefficient","Gpt-4o",5,0.551783207597165,0.0407617263270734,0.0182291981895158
"function_words","Haptic",10,"Correlation coefficient","Llama-3.1-70B",5,0.513542372340993,0.142628152070271,0.0637852487068608
"function_words","Haptic",10,"KL divergence (log)","Gpt-4o",5,3.23063110764836,0.0816220897624936,0.0365025082349051
"function_words","Haptic",10,"KL divergence (log)","Llama-3.1-70B",5,2.92574804108627,0.228827031925875,0.102334559695154
"function_words","Haptic",20,"Correlation coefficient","Gpt-4o",5,0.405172883552595,0.217751161684952,0.0973812799414201
"function_words","Haptic",20,"Correlation coefficient","Llama-3.1-70B",5,0.55733367872995,0.0969624214957835,0.0433629131455118
"function_words","Haptic",20,"KL divergence (log)","Gpt-4o",5,3.140224490155,0.192178049093444,0.0859446363112467
"function_words","Haptic",20,"KL divergence (log)","Llama-3.1-70B",5,3.18508943175749,0.176893165247889,0.0791090284498767
"function_words","Haptic",30,"Correlation coefficient","Gpt-4o",5,-0.111803398874989,0.695221787153807,0.31091263510296
"function_words","Haptic",30,"Correlation coefficient","Llama-3.1-70B",5,0.246196105144337,0.817321058768056,0.365517089369495
"function_words","Haptic",30,"KL divergence (log)","Gpt-4o",5,3.24014693866229,0.221485627475212,0.0990513838147539
"function_words","Haptic",30,"KL divergence (log)","Llama-3.1-70B",5,3.19534109246549,0.19244110352997,0.0860622778316173
"function_words","Haptic",40,"Correlation coefficient","Gpt-4o",5,0.647870866461908,0.113265950255898,0.0506540728616595
"function_words","Haptic",40,"Correlation coefficient","Llama-3.1-70B",5,0.779538977146665,0.154819799965308,0.0692375193970698
"function_words","Haptic",40,"KL divergence (log)","Gpt-4o",5,3.1839534461832,0.191507756787557,0.085644872479095
"function_words","Haptic",40,"KL divergence (log)","Llama-3.1-70B",5,3.23640147484698,0.218274530388407,0.0976153375410641
"function_words","Haptic",50,"Correlation coefficient","Gpt-4o",5,0.523473426267389,0.489015471796668,0.218694367397296
"function_words","Haptic",50,"Correlation coefficient","Llama-3.1-70B",5,0.304587988067406,0.52507081767413,0.23481880826415
"function_words","Haptic",50,"KL divergence (log)","Gpt-4o",5,3.26604394795884,0.167203079951456,0.0747754905637574
"function_words","Haptic",50,"KL divergence (log)","Llama-3.1-70B",5,3.26604394795884,0.167203079951456,0.0747754905637574
"function_words","Interoceptive",10,"Correlation coefficient","Gpt-4o",5,0.0936019441861165,0.339029795443676,0.151618733801982
"function_words","Interoceptive",10,"Correlation coefficient","Llama-3.1-70B",5,0.389580678888326,0.467194584890281,0.208935770106893
"function_words","Interoceptive",10,"KL divergence (log)","Gpt-4o",5,3.32787968130303,0.16058087717781,0.0718139514512257
"function_words","Interoceptive",10,"KL divergence (log)","Llama-3.1-70B",5,3.08359815595402,0.0133266090252751,0.00595984073801546
"function_words","Interoceptive",20,"Correlation coefficient","Gpt-4o",5,0.15220353957994,0.364545746975703,0.163029814229222
"function_words","Interoceptive",20,"Correlation coefficient","Llama-3.1-70B",5,0.492320330471388,0.187343814879172,0.083782701046793
"function_words","Interoceptive",20,"KL divergence (log)","Gpt-4o",5,3.16632312536008,0.375051931112811,0.167728322612163
"function_words","Interoceptive",20,"KL divergence (log)","Llama-3.1-70B",5,3.18663130736836,0.229953598615849,0.102838375635148
"function_words","Interoceptive",30,"Correlation coefficient","Gpt-4o",5,0.284798452250268,0.254628313956153,0.113873243800423
"function_words","Interoceptive",30,"Correlation coefficient","Llama-3.1-70B",5,0.182306229665679,0.459978856341632,0.2057087981985
"function_words","Interoceptive",30,"KL divergence (log)","Gpt-4o",5,3.12257083752855,0.387908586225379,0.173477993571157
"function_words","Interoceptive",30,"KL divergence (log)","Llama-3.1-70B",5,3.04978864137094,0.159583924817,0.0713681008014054
"function_words","Interoceptive",40,"Correlation coefficient","Gpt-4o",5,-0.284938131434082,0.433742676721466,0.193975621978383
"function_words","Interoceptive",40,"Correlation coefficient","Llama-3.1-70B",5,0.195096645666911,0.487786006400718,0.218144533757031
"function_words","Interoceptive",40,"KL divergence (log)","Gpt-4o",5,3.15471056898562,0.212145252507176,0.0948742411419808
"function_words","Interoceptive",40,"KL divergence (log)","Llama-3.1-70B",5,3.22262250766296,0.39736148739074,0.177705459489224
"function_words","Interoceptive",50,"Correlation coefficient","Gpt-4o",5,0.0553667519695749,0.59596304943711,0.266522778123889
"function_words","Interoceptive",50,"Correlation coefficient","Llama-3.1-70B",5,0.3097706623056,0.580275225763693,0.259506970093331
"function_words","Interoceptive",50,"KL divergence (log)","Gpt-4o",5,3.10941836530827,0.603111638799025,0.269719724475184
"function_words","Interoceptive",50,"KL divergence (log)","Llama-3.1-70B",5,3.13691539607601,0.235571492077594,0.105350773969311
"function_words","Olfactory",10,"Correlation coefficient","Gpt-4o",5,NA,NA,NA
"function_words","Olfactory",10,"Correlation coefficient","Llama-3.1-70B",5,NA,NA,NA
